Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
LAXSB,1/19/2018,1,Cancelled,3,2018,1,,,
LAXSB,1/21/2018,7,Confirmed,3,2018,1,,,
NYCAA,1/11/2018,2,Confirmed,2,2018,1,,,
ORDAL,1/15/2018,4,Cancelled,3,2018,1,,,
ORDAL,1/20/2018,2,Confirmed,3,2018,1,,,
LAXSB,1/20/2018,1,Cancelled,3,2018,1,,,
MKETJ,1/20/2018,4,Confirmed,3,2018,1,,,
LAXWE,1/20/2018,1,Cancelled,3,2018,1,,,
LAXWM,1/13/2018,17,Confirmed,2,2018,1,,,
MIAEP,1/16/2018,3,Confirmed,3,2018,1,,,
MKETJ,1/17/2018,4,Cancelled,3,2018,1,,,
MIAEP,1/20/2018,4,Confirmed,3,2018,1,,,
PSPNP,1/13/2018,9,Confirmed,2,2018,1,,,
SAVKB,1/19/2018,4,Cancelled,3,2018,1,,,
SEAAX,1/11/2018,1,Cancelled,2,2018,1,,,
PHLPM,1/19/2018,3,Confirmed,3,2018,1,,,
PHLPM,1/20/2018,1,Confirmed,3,2018,1,,,
PHLPM,1/21/2018,5,Confirmed,3,2018,1,,,
SEAVP,1/14/2018,2,Confirmed,2,2018,1,,,
WDCMO,1/21/2018,4,Cancelled,3,2018,1,,,
WDCRG,1/21/2018,2,Confirmed,3,2018,1,,,
WDCSV,1/18/2018,2,Cancelled,3,2018,1,,,
WDCSV,1/21/2018,4,Confirmed,3,2018,1,,,
WDCPA,1/14/2018,1,Confirmed,2,2018,1,,,
WDCDV,1/22/2018,2,Confirmed,4,2018,1,,,
SLCSL,1/14/2018,5,Confirmed,2,2018,1,,,
SLCSL,1/19/2018,3,Confirmed,3,2018,1,,,
WDCDV,1/21/2018,2,Confirmed,3,2018,1,,,
MSPGR,1/20/2018,2,Cancelled,3,2018,1,,,
LAXWE,1/21/2018,2,Cancelled,3,2018,1,,,
AUSVZ,1/13/2018,1,Confirmed,2,2018,1,,,
AUSVZ,1/17/2018,3,Cancelled,3,2018,1,,,
BOSML,1/21/2018,2,Confirmed,3,2018,1,,,
BOSNZ,1/13/2018,26,Cancelled,2,2018,1,,,
ORDCM,1/11/2018,1,Cancelled,2,2018,1,,,
ORDCM,1/14/2018,5,Confirmed,2,2018,1,,,
PDXPR,1/13/2018,6,Cancelled,2,2018,1,,,
MIAEP,1/17/2018,4,Cancelled,3,2018,1,,,
MIAEP,1/21/2018,10,Confirmed,3,2018,1,,,
MKETJ,1/19/2018,1,Cancelled,3,2018,1,,,
MSPGR,1/20/2018,1,Confirmed,3,2018,1,,,
PHXPX,1/18/2018,5,Cancelled,3,2018,1,,,
RUTTH,1/19/2018,1,Cancelled,3,2018,1,,,
SANPR,1/21/2018,5,Cancelled,3,2018,1,,,
SANPR,1/22/2018,1,Cancelled,4,2018,1,,,
SEAAX,1/19/2018,4,Cancelled,3,2018,1,,,
